"YEAR_","STATE","AGENCY","UNIT_ID","TREATMENT_","TREATMENT1","START_DATE","END_DATE","TREATED_AC","GIS_ACRES","RX_CONSUM","PRE_CON_CL","POST_CON_C","TREATMENT_TYPE","Shape_Leng","Shape_Area","treatment_type","Id","area_m2"
"2020","CA","NPS","RWP","3034012","Upper Counts Rx",NA,NA,127,127.305,0,0,0,1,3847.0016687,515183.085375,"Broadcast Burn",0,485238.625923864
"2020","CA","CDF","MMU","9872","Long Training Burn",2020-06-05,2020-06-05,43,150.237,0,0,0,1,7558.48714192,607986.735622,"Broadcast Burn",0,482362.648387209
"2020","CA","BLM","CND","NFPORS6319361","Fish Slough OM Underburn",2020-02-28,2020-02-28,85,85.7402,0,0,0,1,3196.68053839,346978.117895,"Broadcast Burn",0,346978.117894487
"2020","CA","NPS","LNP","6319426","FY20_RX_NWG Units A-G
",NA,NA,85,70.2269,0,0,0,1,3313.79227395,284198.296137,"Broadcast Burn",0,284198.296137209
"2020","CA","BLM","CND","NFPORS6324108","WUI VA MLFO Broadcast Burn",2020-06-16,2020-06-16,54,54.8198,0,0,0,1,2934.45837432,221847.748358,"Broadcast Burn",0,221847.748358116
"2020","CA","CDF","TCU","11051","PAWS Broadcast Burn",2020-06-11,2020-06-12,52,167.087,0,0,0,1,6329.36908932,676177.206751,"Broadcast Burn",0,218341.631265827
"2020","CA","CDF","RRU","10903","Lake Skinner Burn",2020-05-20,2020-06-05,98,140.025,0,0,0,1,7170.05051193,566662.047418,"Broadcast Burn",0,211905.976764618
"2020","CA","OTH","TCU","11053","Melones BOR Broadcast Burn",2020-06-15,2020-06-15,94,133.09,0,0,0,1,5851.32613022,538597.951951,"Broadcast Burn",0,175904.704029118
"2020","CA","BLM","NOD","NFPORS6318799","SUDDEN OAK DEATH PILE BURN",2020-11-18,2020-12-18,53,40.2539,0,0,0,3,3694.31323998,162901.758203,"Hand Pile Burn",0,162901.758202577
"2020","CA","BLM","CDD","NFPORS6300222","DOS PALMAS BROADCAST",2020-11-10,2020-11-10,15,14.7723,0,0,0,1,1137.47077241,59781.292067,"Broadcast Burn",0,59781.2920670168
"2020","CA","CDF","TGU","9807","HWY 36E Roadside",2020-06-30,2020-07-01,102,110.426,0,0,0,1,42981.4901539,446876.196825,"Broadcast Burn",0,42192.9265010731
"2020","CA","CDF","MEU","11337","Bridges Rx Fire",2020-11-11,2020-11-12,120,138.015,0,0,0,1,7415.92414848,558524.925458,"Broadcast Burn",0,36609.4939680293
"2020","CA","BLM","NOD","NFPORS6318792","SRF Interagency Burn",2020-03-10,2020-03-11,7,7.64252,0,0,0,1,723.039468268,30928.1898683,"Broadcast Burn",0,30928.1898683421
"2020","CA","CDF","MMU","9446","N-05-19 HIGHWAY 41 Burn",2020-06-03,2020-06-05,103.9,103.871,0,0,0,1,36138.9303815,420349.461929,"Broadcast Burn",0,18207.9930584288
"2020","CA","BLM","NOD","NFPORS6328759","Spring Branch RX",2020-07-07,2020-07-10,118,118.48,0,0,0,1,3613.85744782,479473.336046,"Broadcast Burn",0,11418.4928029131
"2020","CA","CDF","TGU","11003","HWY 162 / RD 306 RxBurning",2020-06-09,2020-06-09,4.5,4.5386,0,0,0,1,8686.9629998,18367.0754314,"Broadcast Burn",0,8650.35315896686
"2020","CA","USF","KNF","7210904000","ROUND VALLEY",2020-02-20,2020-02-20,45,45.1726,0,0,0,2,3031.18888305,182807.066939,"Fire Use",0,8064.01301570139
"2020","CA","BLM","CDD","NFPORS6327613","Dos Palmas Broadcast",2020-03-30,2020-03-30,2,1.96673,0,0,0,1,404.558563329,7959.08870795,"Broadcast Burn",0,7959.08870793204
"2020","CA","CDF","LNU","10919","2020 Hwy 128 Burn",2020-05-25,2020-06-01,91,81.9426,0,0,0,1,19285.364005,331609.858157,"Broadcast Burn",0,6712.07255337493
"2020","CA","CDF","BTU","10922","Oroville Airport 2020 Rx Burn",2020-05-26,2020-05-26,157.9,157.911,0,0,0,1,14230.3316326,639042.7432,"Broadcast Burn",0,6378.30044152092
"2020","CA","CDF","TGU","11000","2020 TNC VMP Back Country & Breaks Unit",2020-06-11,2020-06-11,1178,1216.69,0,0,0,1,13694.656867,4923785.16574,"Broadcast Burn",0,5332.72821524086
"2020","CA","OTH","BEU","10949","Northern Boundary Burn",2020-05-26,2020-05-29,220,220.373,0,0,0,1,15085.3163602,891816.123776,"Broadcast Burn",0,5034.56968309955
"2020","CA","USF","ENF","1440013000",NA,NA,2020-02-12,0,23.7389,0,0,0,5,2019.62909166,96068.1189247,"Machine Pile Burn",0,4792.79804456793
"2020","CA","CDF","MEU","10567","2020 Shamrock VMP",2020-02-13,2020-02-22,308,358.388,0,0,0,1,12286.5596852,1450345.01737,"Broadcast Burn",0,4711.40742142965
"2020","CA","USF","KNF","7180071000","SECOND",2020-09-30,NA,36,35.9176,0,0,0,2,2181.31807284,145353.499157,"Fire Use",0,4323.74728834792
"2020","CA","USF","KNF","7180070000","FIRST",2020-09-30,NA,21,21.482,0,0,0,2,1161.4510216,86934.6965456,"Fire Use",0,4290.59614362568
"2020","CA","CDF","MEU","10559","N-05-19 Ukiah Eastside Rx Fire",2020-01-07,2020-02-11,361,570.007,0,0,0,1,11374.2568258,2306737.22624,"Broadcast Burn",0,4194.26467705992
"2020","CA","CDF","SLU","11356","2020 Webster Burning",2020-06-01,2020-06-05,567,566.962,0,0,0,1,15479.0563777,2294413.86919,"Broadcast Burn",0,3561.15181905411
"2020","CA","CCO","ORC","10099","Fire School",2020-06-01,2020-06-22,350,600.83,0,0,0,1,8927.52375609,2431473.69835,"Broadcast Burn",0,3449.65995768855
"2020","CA","CDF","AEU","11112","June 10-12, 2020 Broadcast",2020-06-10,2020-06-12,240.2,240.161,0,0,0,1,8396.39236448,971898.825943,"Broadcast Burn",0,3404.04256064156
"2020","CA","CSP","HUU","11308","2020 Rx Burns",2020-10-29,2020-11-02,220,220.09,0,0,0,1,6751.17594018,890672.592811,"Broadcast Burn",0,3164.94703475074
"2020","CA","CDF","SLU","8940","Spooner Burn",2020-02-29,2020-02-29,94,71.4011,0,0,0,1,2549.13185756,288949.989511,"Broadcast Burn",0,3161.70950532216
"2020","CA","USF","SNF","7400013000",NA,NA,2020-01-14,0,133.574,0,0,0,5,2813.496383,540554.678204,"Machine Pile Burn",0,3141.48443013512
"2020","CA","CCO","SBC","11354","November Burn",2020-11-20,2020-11-20,345,345.03,0,0,0,1,10278.8375935,1396287.97192,"Broadcast Burn",0,3129.57296620216
"2020","CA","CDF","HUU","11394","2020_RX",2020-12-10,2020-12-10,360,367.945,0,0,0,1,6296.85738949,1489020.60129,"Broadcast Burn",0,2973.12958728284
"2020","CA","CDF","LNU","10921","2020 Front Field",2020-06-02,2020-06-19,335,335.003,0,0,0,1,7591.50169625,1355707.21319,"Broadcast Burn",0,2942.61867868229
"2020","CA","OTH","SHU","11214","2020 Shasta County RX",2020-05-01,2020-11-05,596.4,596.401,0,0,0,1,11681.3250772,2413548.62314,"Broadcast Burn",0,2919.18617911144
"2020","CA","CDF","MEU","10560","N-05-19 Ukiah Westside Rx Fire",2020-02-18,2020-03-05,260,570.116,0,0,0,1,12805.9778094,2307179.56108,"Broadcast Burn",0,2869.51683099301
